City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
128,Grand-Santi,GF,72.14,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
131,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
133,Ahipara,NZ,74.07,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
135,Kontagora,NG,75.94,few clouds,10.3999,5.4695,Queens Guest Inn
138,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
141,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
145,Miri,MY,78.58,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
147,Champerico,GT,83.77,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
148,Mount Gambier,AU,76.64,scattered clouds,-37.8333,140.7667,The Commodore
149,Gizo,SB,82.54,moderate rain,-8.103,156.8419,Imagination Island
150,Maceio,BR,79.52,few clouds,-9.6658,-35.7353,Poutur Pousada
151,Meulaboh,ID,74.75,moderate rain,4.1363,96.1285,Kost Pria
153,Owando,CG,74.97,scattered clouds,-0.4819,15.8999,Exaunel Hotel Owando
155,Maues,BR,71.69,overcast clouds,-3.3836,-57.7186,Hotel Miramar
158,Ambilobe,MG,74.52,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
160,Clarence Town,AU,87.15,few clouds,-32.5833,151.7833,River Downs Cottage
162,El Alto,PE,70.18,scattered clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
164,Neuquen,AR,84.09,clear sky,-38.9516,-68.0591,Hotel del Comahue
166,Faanui,PF,81.75,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
168,Sao Filipe,CV,73.76,overcast clouds,14.8961,-24.4956,Hotel Xaguate
169,San Rafael,AR,87.12,overcast clouds,-34.6177,-68.3301,Hotel San Rafael
171,Nelson Bay,AU,87.3,clear sky,-32.7167,152.15,Mantra Nelson Bay
175,Ugoofaaru,MV,80.87,overcast clouds,5.6667,73.0,Ungoofaaru Inn
178,Hobyo,SO,76.68,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
186,Plettenberg Bay,ZA,72.01,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
202,Balikpapan,ID,76.19,moderate rain,-1.2675,116.8289,ibis Balikpapan
203,Bubaque,GW,79.52,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
